source_id,official_name,prefecture,action,target_candidate_id,match_rule
LASENS-3896,平原通り小劇場,北海道,new,,no_match
LASENS-373,糀ホール,神奈川県,new,,no_match
LASENS-2711,池袋西口公園野外劇場 グローバルリング シアター,東京都,new,,no_match
LASENS-222,大阪市立阿倍野区民センター 小ホール,大阪府,attach_space,CAND-1307,name_room_of
LASENS-341,一心寺シアター倶楽,大阪府,new,,no_match
LASENS-2895,音太小屋 2階「でん」,大阪府,new,,no_match
LASENS-384,渋谷La.mama,東京都,new,,no_match
LASENS-365,近鉄アート館,大阪府,new,,no_match
LASENS-385,B1F LIVE SPACE HALOT,東京都,new,,no_match
LASENS-386,LE DECO 3F,東京都,new,,no_match
LASENS-387,LE DECO 5F,東京都,new,,no_match
LASENS-2022,LEFKADA新宿,東京都,new,,no_match
LASENS-554,浄土宗應典院 本堂,大阪府,new,,no_match
LASENS-623,吹田市文化会館 メイシアター 中ホール,大阪府,attach_space,CAND-1314,name_room_of
LASENS-390,吹田市文化会館 メイシアター 小ホール,大阪府,attach_space,CAND-1314,name_room_of
LASENS-3306,nakano f（ナカノエフ）,東京都,new,,no_match
LASENS-644,世界館,大阪府,new,,no_match
LASENS-425,OFF・OFFシアター,東京都,new,,no_match
LASENS-3612,聖天通劇場,大阪府,new,,no_match
LASENS-3769,扇町ミュージアムキューブ,大阪府,new,,no_match
LASENS-4046,Paperback Studio,東京都,new,,no_match
LASENS-305,大阪市立芸術創造館 大練習室,大阪府,attach_space,CAND-1488,name_room_of
LASENS-443,plan-B,東京都,new,,no_match
LASENS-462,R’sアートコート（労音大久保会館）,東京都,new,,no_match
LASENS-455,オルタナティブスペースRAFT,東京都,new,,no_match
LASENS-553,Route Theater,東京都,new,,no_match
LASENS-414,大阪日本橋ポルックスシアター,大阪府,new,,no_match
LASENS-2004,SCOOL,東京都,new,,no_match
LASENS-476,神楽坂セッションハウス B1Fスタジオ・小劇場,東京都,new,,no_match
LASENS-293,space EDGE Space A,東京都,new,,no_match
LASENS-1998,SPACE BLANZ B1F フリースペース,東京都,new,,no_match
LASENS-504,高円寺Studio K スタジオ2,東京都,new,,no_match
LASENS-571,中野Studio twl,東京都,new,,no_match
LASENS-1986,STUDIO ZAP!,東京都,new,,no_match
LASENS-4012,studio杭,東京都,new,,no_match
LASENS-514,TACCS1179,東京都,new,,no_match
LASENS-4367,TB STUDIO,東京都,new,,no_match
LASENS-521,THEATER BRATS,東京都,new,,no_match
LASENS-541,シアターシャイン,東京都,new,,no_match
LASENS-698,WATERRAS COMMON ホール,東京都,new,,no_match
LASENS-252,アートシアター上野小劇場,東京都,new,,no_match
LASENS-684,あさくさ劇亭,東京都,new,,no_match
LASENS-512,アートスペースサンライズホール,東京都,new,,no_match
LASENS-450,阿佐ヶ谷アートスペースプロット,東京都,new,,no_match
LASENS-247,高田馬場ラビネスト,東京都,new,,no_match
LASENS-258,アトリエだるま座,東京都,new,,no_match
LASENS-702,アトリエファンファーレ高円寺,東京都,new,,no_match
LASENS-2000,アトリエファンファーレ東新宿,東京都,new,,no_match
LASENS-1810,アトリエファンファーレ東池袋,東京都,new,,no_match
LASENS-259,アトリエヘリコプター,東京都,new,,no_match
LASENS-4099,アトリエ三軒茶屋,東京都,new,,no_match
LASENS-243,阿佐ヶ谷アルシェ,東京都,new,,no_match
LASENS-1994,アルネ543,東京都,new,,no_match
LASENS-242,アレーナホール,東京都,new,,no_match
LASENS-587,WESTEND STUDIO（ウエストエンドスタジオ）,東京都,new,,no_match
LASENS-590,ウッディシアター中目黒,東京都,new,,no_match
LASENS-2359,エリア543,東京都,new,,no_match
LASENS-1683,オメガ東京,東京都,new,,no_match
LASENS-1618,I’M A SHOW（アイマショウ）,東京都,new,,no_match
LASENS-352,江東区亀戸文化センター カメリアホール,東京都,attach_space,CAND-1404,name_room_of
LASENS-631,中目黒キンケロ・シアター,東京都,new,,no_match
LASENS-379,FSXホール（くにたち市民芸術小ホール） ホール,東京都,attach_space,CAND-1344,name_room_of
LASENS-277,J:COMコール田無 多目的ホール,東京都,new,,no_match
LASENS-1779,Asagiri Mist Theater（旧・コフレリオ新宿シアター）,東京都,new,,no_match
LASENS-605,ザ・スズナリ,東京都,new,,no_match
LASENS-465,SAiSTUDIOコモネA,東京都,new,,no_match
LASENS-3367,すみだパークギャラリーささや,東京都,new,,no_match
LASENS-603,ザムザ阿佐谷,東京都,new,,no_match
LASENS-3342,サンガイノリバテイ,東京都,new,,no_match
LASENS-509,サンモールスタジオ,東京都,new,,no_match
LASENS-3535,シアター・アルファ東京,東京都,new,,no_match
LASENS-548,シアター711,東京都,new,,no_match
LASENS-1928,シアターウィング,東京都,new,,no_match
LASENS-528,BOX in BOX THEATER,東京都,new,,no_match
LASENS-530,BIG TREE THEATER,東京都,new,,no_match
LASENS-532,BASE THEATER,東京都,new,,no_match
